stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
216610,,Canley Vale Station,-33.88732821,150.94353766,1,,0,,,NSW
216620,,Cabramatta Station,-33.89474039,150.93887636,1,,0,,,NSW
217010,,Warwick Farm Station,-33.91331588,150.93509547,1,,0,,,NSW
217020,,Liverpool Station,-33.92492704,150.92732848,1,,0,,,NSW
217310,,Holsworthy Station,-33.96319517,150.95658976,1,,0,,,NSW
217426,,Edmondson Park Station,-33.96932346,150.85880158,1,,0,,,NSW
217933,,Leppington Station,-33.95445703,150.80817012,1,,0,,,NSW
274710,,Werrington Station,-33.75916137,150.75759387,1,,0,,,NSW
274720,,Kingswood Station,-33.75842011,150.72053259,1,,0,,,NSW
275010,,Penrith Station,-33.75014862,150.69651584,1,,0,,,NSW
275310,,East Richmond Station,-33.60172876,150.75891556,1,,0,,,NSW
275320,,Richmond Station,-33.59884642,150.75264112,1,,0,,,NSW
275620,,Windsor Station,-33.61375217,150.81121394,1,,0,,,NSW
276010,,St Marys Station,-33.76210254,150.77518003,1,,0,,,NSW
276220,,Schofields Station,-33.70438029,150.87377461,1,,0,,,NSW
276310,,Quakers Hill Station,-33.72746287,150.88623397,1,,0,,,NSW
276510,,Riverstone Station,-33.67926177,150.86037985,1,,0,,,NSW
276610,,Rooty Hill Station,-33.77162507,150.84464747,1,,0,,,NSW
276710,,Doonside Station,-33.76389763,150.86869678,1,,0,,,NSW
277010,,Mount Druitt Station,-33.76955803,150.82012586,1,,0,,,NSW
G2147241,,Prospect Hwy After Station Rd,-33.76938694,150.94201292,1,,0,,,NSW
G2148211,,"Blacktown Police Station, Kildare Rd",-33.76883866,150.90489270,1,,0,,,NSW
G2745111,,Power Station Mulgoa Rd,-33.78352490,150.65071121,1,,0,,,NSW
G275012,,Henry St After Station St,-33.75191054,150.69606291,1,,0,,,NSW
G2750192,,"Howell Oval, Station St",-33.76056305,150.68670236,1,,0,,,NSW
G2750193,,"BlueBet Stadium, Station St",-33.75836088,150.68952113,1,,0,,,NSW
G2750233,,Derby St Before Station St,-33.75569265,150.69405680,1,,0,,,NSW
