stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,state
vic:rail:RIK,Riddells Creek Railway Station,-37.46512379,144.67983071,1,,1,,VIC
vic:rail:RMD,Richmond Railway Station,-37.82407446,144.99016426,1,,1,,VIC
vic:rail:ROE,Rosedale Railway Station,-38.15640367,146.78696637,1,,1,,VIC
vic:rail:ROR,Rochester Railway Station,-36.36236050,144.69868134,1,,1,,VIC
vic:rail:RVH,Caroline Springs Railway Station,-37.76612649,144.73573715,1,,1,,VIC
vic:rail:SAE,Sale Railway Station,-38.10310272,147.05480513,1,,1,,VIC
vic:rail:SDP,Sherwood Park Railway Station,-38.38638239,142.53884888,1,,1,,VIC
vic:rail:SER,Seymour Railway Station,-37.02472873,145.13772862,1,,1,,VIC
vic:rail:SHT,Springhurst Railway Station,-36.18589340,146.47041695,1,,1,,VIC
vic:rail:SNH,Shepparton Railway Station,-36.38379101,145.40649749,1,,1,,VIC
vic:rail:SOG,South Geelong Railway Station,-38.15865863,144.35898705,1,,1,,VIC
vic:rail:SSS,Southern Cross Railway Station,-37.81866310,144.95277706,1,,1,,VIC
vic:rail:STD,Stratford Railway Station,-37.96704739,147.08146945,1,,1,,VIC
vic:rail:SUN,Sunshine Railway Station,-37.78853633,144.83287820,1,,1,,VIC
vic:rail:SUY,Sunbury Railway Station,-37.57928396,144.72798098,1,,1,,VIC
vic:rail:SWL,Swan Hill Railway Station,-35.34111357,143.56234321,1,,1,,VIC
vic:rail:TAR,Trafalgar Railway Station,-38.20724230,146.15477284,1,,1,,VIC
vic:rail:TAT,Talbot Railway Station,-37.17289923,143.70564034,1,,1,,VIC
vic:rail:TER,Terang Railway Station,-38.23621199,142.91147221,1,,1,,VIC
vic:rail:TLN,Cobblebank Railway Station,-37.71254554,144.60410782,1,,1,,VIC
vic:rail:TNT,Tarneit Railway Station,-37.83215468,144.69448757,1,,1,,VIC
vic:rail:TOK,Tallarook Railway Station,-37.09233454,145.10299728,1,,1,,VIC
vic:rail:TRN,Traralgon Railway Station,-38.19888494,146.53788212,1,,1,,VIC
vic:rail:TYN,Tynong Railway Station,-38.08499626,145.62823430,1,,1,,VIC
vic:rail:VTN,Violet Town Railway Station,-36.63881606,145.71592345,1,,1,,VIC
vic:rail:WAN,Wallan Railway Station,-37.41653632,145.00535827,1,,1,,VIC
vic:rail:WBL,Warrnambool Railway Station,-38.38501396,142.47554504,1,,1,,VIC
vic:rail:WDG,Wandong Railway Station,-37.35467710,145.02641544,1,,1,,VIC
vic:rail:WED,Wendouree Railway Station,-37.53997217,143.82121077,1,,1,,VIC
vic:rail:WGL,Warragul Railway Station,-38.16483276,145.93265719,1,,1,,VIC
vic:rail:WGS,Watergardens Railway Station,-37.70111071,144.77418099,1,,1,,VIC
vic:rail:WIA,Winchelsea Railway Station,-38.24013506,143.98413389,1,,1,,VIC
vic:rail:WNO,Woodend Railway Station,-37.35879859,144.52589012,1,,1,,VIC
vic:rail:WOD,Wodonga Railway Station,-36.10584513,146.87126565,1,,1,,VIC
vic:rail:WPP,Waurn Ponds Railway Station,-38.21580573,144.30683114,1,,1,,VIC
vic:rail:WRT,Wangaratta Railway Station,-36.35515492,146.31702684,1,,1,,VIC
vic:rail:WVL,Wyndham Vale Railway Station,-37.87252742,144.60835702,1,,1,,VIC
vic:rail:YON,Yarragon Railway Station,-38.20315754,146.06306280,1,,1,,VIC
